age_err count cumul_perc
 0 282 0.239592
 1 435 0.609176
 2 230 0.804588
 3 100 0.889550
 4  45 0.927782
 5  27 0.950722
 6  23 0.970263
 7  17 0.984707
 8   8 0.991504
 9   5 0.995752
10   3 0.998301
11   2 1.000000
12   0 1.000000
13   0 1.000000
14   0 1.000000
15   0 1.000000
16   0 1.000000
17   0 1.000000
18   0 1.000000
19   0 1.000000
20   0 1.000000
21   0 1.000000
22   0 1.000000
23   0 1.000000
24   0 1.000000
25   0 1.000000
26   0 1.000000
27   0 1.000000
28   0 1.000000
Value: -1.666614
